image_id,latitude,longitude,observed_on
359683836,-38.4088472222,144.1757583333,2024-03-23
359683844,-38.4088472222,144.1757583333,2024-03-23
359683847,-38.4088472222,144.1757583333,2024-03-23
359683850,-38.4088472222,144.1757583333,2024-03-23
359683862,-38.4088472222,144.1757583333,2024-03-23
359683864,-38.4088472222,144.1757583333,2024-03-23
359223633,-37.93192,145.31577,2024-03-21
358110906,-41.14559065,146.6158490502,2024-03-11
355285557,-27.433959717,153.5448743745,2016-05-08
354925730,-23.5056192,150.4633344,2024-03-03
354925745,-23.5056192,150.4633344,2024-03-03
354925761,-23.5056192,150.4633344,2024-03-03
351626480,-23.4949387997,150.4786670997,2024-02-16
351626534,-23.4949387997,150.4786670997,2024-02-16
351626595,-23.4949387997,150.4786670997,2024-02-16
351626708,-23.4949387997,150.4786670997,2024-02-16
351626802,-23.4949387997,150.4786670997,2024-02-16
349193425,-23.4933407,150.4704395997,2024-02-02
349193599,-23.4933407,150.4704395997,2024-02-02
349193703,-23.4933407,150.4704395997,2024-02-02
347038371,-23.5072779532,150.4640645161,2024-01-20
347038380,-23.5072779532,150.4640645161,2024-01-20
345718389,-23.4930816,150.4685183997,2024-01-12
345718422,-23.4930816,150.4685183997,2024-01-12
342868956,-38.0158722222,145.5513388889,2023-12-27
342868965,-38.0158722222,145.5513388889,2023-12-27
342868972,-38.0158722222,145.5513388889,2023-12-27
342868982,-38.0158722222,145.5513388889,2023-12-27
342868989,-38.0158722222,145.5513388889,2023-12-27
342868998,-38.0158722222,145.5513388889,2023-12-27
342869007,-38.0158722222,145.5513388889,2023-12-27
342869013,-38.0158722222,145.5513388889,2023-12-27
342869021,-38.0158722222,145.5513388889,2023-12-27
342672570,-38.0160444444,145.5524194444,2023-12-26
342672581,-38.0160444444,145.5524194444,2023-12-26
342672587,-38.0160444444,145.5524194444,2023-12-26
342672596,-38.0160444444,145.5524194444,2023-12-26
342672605,-38.0160444444,145.5524194444,2023-12-26
342672621,-38.0160444444,145.5524194444,2023-12-26
342611014,-23.4969974997,150.4722626997,2023-12-26
342611060,-23.4969974997,150.4722626997,2023-12-26
342611088,-23.4969974997,150.4722626997,2023-12-26
341068675,-37.5339362571,144.9066614568,2023-12-16
340090897,-36.5392323982,148.1343661508,2023-12-10
340090839,-36.5394572975,148.1347676007,2023-12-10
340090805,-36.3826616667,148.1801916667,2023-12-10
340090826,-36.3826616667,148.1801916667,2023-12-10
338531413,-27.588756,152.9254168,2023-12-02
338530662,-27.588756,152.9254168,2023-12-02
